tourism_id,tourism_name,tourism_description,category,city,price,rating,tourism_location,tourism_image,tourism_gmaps,latlong,latitude,longitude
tfyn9p2a20w97mbjnks44jkr7uepcguzseabad3y3o6w8ac6o8tifmn,Angkringan Nasi Gandul Khas Pati,Rumah Makan,ctgry7hc1oq4or1ymwddw2bu8uan5ntfry089,Kulon Progo,"25,000.00",4.6,"Jl. Diponegoro No.52, Wates, Kec. Wates, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55651",https://lh3.googleusercontent.com/p/AF1QipPmfoNaaDYPw5In3m2DiaKgWyRdvuc6qnjAHfJy=s1360-w1360-h1020,"https://www.google.com/maps/place/Angkringan+Nasi+Gandul+Khas+Pati/@-7.8617043,110.1558795,17z/data=!4m11!1m3!2m2!1srumah+makan+sekitar+kulon+progo!6e5!3m6!1s0x2e7afb3b8ae79ca3:0x69630dbb8bbc3188!8m2!3d-7.8617043!4d110.1580682!15sCh9ydW1haCBtYWthbiBzZWtpdGFyIGt1bG9uIHByb2dvWiEiH3J1bWFoIG1ha2FuIHNla2l0YXIga3Vsb24gcHJvZ2-SAQVkaW5lcpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOS01GOXVhUzFuUlJBQuABAA!16s%2Fg%2F11dz_yvnxz?authuser=0&hl=id&entry=ttu","-7.861550194019501, 110.15813255550128",-7.861550194,110.1581326
tfyy1j194hfvarljr3dsjq62nobpsyrdjjim26bw55gikfw61qefumn,Aniu Teng Teng,Bar Tanpa Tempat Duduk,ctgry7hc1oq4or1ymwddw2bu8uan5ntfry089,Pekanbaru,"20,000.00",4.5,"Jl. Mutiara No.34, Padang Terubuk, Kec. Senapelan, Kota Pekanbaru, Riau 28155",https://lh3.googleusercontent.com/p/AF1QipOnoTlieK3-9XZbeh-HO22ONL2oaoxpv-8fKrI1=s1360-w1360-h1020,"https://www.google.com/maps/place/Aniu+Teng+Teng/@0.53297,101.4294374,17z/data=!3m1!4b1!4m6!3m5!1s0x31d5ac0d55c7b719:0xecc55ad3e3272daf!8m2!3d0.53297!4d101.4294374!16s%2Fg%2F11c1ny579k?entry=ttu","0.5331362897587737, 101.4298450957574",0.5331362898,101.4298451
tfyidaiu4jahxuef2gkpi4ab9dty3oxw7ac6nyti57l58if3duudjmn,Aroma Cempaka,Restoran Padang,ctgry7hc1oq4or1ymwddw2bu8uan5ntfry089,Jambi,"75,000.00",4.4,"Jl. H. Moh. Bafadhal No.6, Cemp. Putih, Kec. Jelutung, Kota Jambi, Jambi 36134",https://lh3.googleusercontent.com/p/AF1QipNJuoJEiwd4PVCxrgzkPxfQxMPNmm2i_dQQgcZF=s1360-w1360-h1020,"https://www.google.com/maps/place/Rumah+Makan+Aroma+Cempaka/@-1.6062415,103.5794165,13z/data=!4m10!1m2!2m1!1srm+aroma+cempaka+jambi!3m6!1s0x2e2588dd956a84ab:0x413b606d12c074a0!8m2!3d-1.6062415!4d103.6144354!15sChZybSBhcm9tYSBjZW1wYWthIGphbWJpWhgiFnJtIGFyb21hIGNlbXBha2EgamFtYmmSARFwYWRhbmdfcmVzdGF1cmFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSb01XUm1VbmQzUlJBQuABAA!16s%2Fg%2F11rvtn30g?authuser=0&hl=id&entry=ttu","-1.6015226616936415, 103.61683867899296",-1.601522662,103.6168387
tfyhg7yhw5f2e47phfbom1gx2z79jyz6d9t4hv85xjpqpsidi3cbmmn,Aroma Resto & Coffee,Kafe,ctgry7hc1oq4or1ymwddw2bu8uan5ntfry089,Wonosobo,"44,000.00",4.4,"JWQ7+VPF, Tembelang, Rojoimo, Kec. Wonosobo, Kabupaten Wonosobo, Jawa Tengah 56315",https://lh3.googleusercontent.com/p/AF1QipNHkD0111ZRWPpjIu4fi_NT4UyzzhpANQJLP2qU=s1360-w1360-h1020,https://maps.app.goo.gl/McAQXvBrQZLg8urc6,"-7.3601805541522145, 109.91427784232856",-7.360180554,109.9142778
tfy9ez88jlniz94thixgkt0fof6p43namcfxfnjvt9o50x5hr6y4kmn,Artomoro Restaurant and Grill,Restoran Seafood,ctgry7hc1oq4or1ymwddw2bu8uan5ntfry089,Labuan Bajo,"100,000.00",4.2,"Jl. Soekarno Hatta, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. 86754",https://lh3.googleusercontent.com/p/AF1QipM-ZpMp8zDTdCzsA7a5-KsctEDAyi73ozJ5-RNA=s1360-w1360-h1020,"https://www.google.com/maps/place/Artomoro+Restaurant+and+Grill/@-8.4930501,119.8778025,17z/data=!3m1!4b1!4m6!3m5!1s0x2db46681100ecc2b:0x966fa90fdf415b15!8m2!3d-8.4930501!4d119.8778025!16s%2Fg%2F11c5xmkvsj?entry=ttu","-8.492800737162359, 119.87778104232855",-8.492800737,119.877781
tfy41t70u4bzzqgzfnxkxnq8zyt64kzgkhps2hiovrcn0erng2887mn,Atmosphere Resort Café,Restoran Indonesia,ctgry7hc1oq4or1ymwddw2bu8uan5ntfry089,Bandung,"205,000.00",4.5,"Jl. Lengkong Besar No.97, Paledang, Kec. Lengkong, Kota Bandung, Jawa Barat 40261",https://lh5.googleusercontent.com/p/AF1QipOs8TYJrxUTd9SVpbfULKUgvBb-YoaWoGk5Gs-j=w408-h272-k-no,"https://www.google.com/maps/place/Atmosphere+Resort+Caf%C3%A9/@-6.9267101,107.6133915,17z/data=!3m1!4b1!4m6!3m5!1s0x2e68e88260d018eb:0x1c6eff3b5082d2d1!8m2!3d-6.9267101!4d107.6133915!16s%2Fg%2F1jkybm02w?entry=ttu","-6.926502414647882, 107.61309109259983",-6.926502415,107.6130911
tfy1bhio41ln9drwpb887a05al43e793l5qpc4ic5fmaa11kqziwhmn,Ayam bakar & Pecel Lele Mbok Jum,Rumah Makan,ctgry7hc1oq4or1ymwddw2bu8uan5ntfry089,Pesawaran,"37,000.00",4.2,"Jalan A.Yani Gedung tataan -pesawaran Desa Sukaraja 6, Depan smp negri No.1, Kec. Gedong Tataan, Kabupaten Pesawaran, Lampung",https://lh3.googleusercontent.com/p/AF1QipPiUwLtEJgz3PWSOpzc5GMqv9tSt-6Yu3puL0nd=s1360-w1360-h1020,https://maps.app.goo.gl/Weo9S25GBz9s3XWG6,"-5.367483799517956, 105.10697620798578",-5.3674838,105.1069762
tfypisznneex3cv9ubnwomius8x486epq56ctg0bx2fldzwwvzokpmn,Ayam Bakar Primarasa,Restoran Ayam,ctgry7hc1oq4or1ymwddw2bu8uan5ntfry089,Surabaya,"125,000.00",4.5,"Jl. Kusuma Bangsa No.3A, Ketabang, Kec. Genteng, Surabaya, Jawa Timur 60272",https://lh3.googleusercontent.com/p/AF1QipMAqQ84LRyZbDrjCsr-qbns2DuHd5ZtKlZgbsMT=s1360-w1360-h1020,https://www.google.com/maps/place/Ayam+Bakar+Primarasa/data=!4m7!3m6!1s0x2dd7f97b35223aa7:0x431ce026cf122eb4!8m2!3d-7.2600547!4d112.7510125!16s%2Fg%2F1w0r26zx!19sChIJpzoiNXv51y0RtC4SzybgHEM?authuser=0&hl=id&rclk=1,"-7.259847164952356, 112.75103395767145",-7.259847165,112.751034
tfylnhyi32piwpjszonefx3cv9vbowomivt8x496eqq56dtg0by2fmn,Ayam Bakar Taliwang Baru,Restoran Ayam,ctgry7hc1oq4or1ymwddw2bu8uan5ntfry089,Bali,"75,000.00",4.3,"Jl. Teuku Umar No.8, Dauh Puri Kauh, Kec. Denpasar Bar., Kota Denpasar, Bali 80113",https://lh5.googleusercontent.com/p/AF1QipNMSS72-v_Ip_3JMudz14pa4jdU75b-sCFkDWfI=w426-h240-k-no,"https://www.google.com/maps/place/Ayam+Bakar+Taliwang+Baru/@-8.6691717,115.2129598,17z/data=!3m2!4b1!5s0x2dd240957a6be3a1:0x19891052c42c02a0!4m6!3m5!1s0x2dd240956015d56f:0xc15dee2853ddfe57!8m2!3d-8.6691717!4d115.2129598!16s%2Fg%2F1hm6d55f6?entry=ttu","-8.668943665334345, 115.2131743767144",-8.668943665,115.2131744
tfyobptyrdjkim27cx65gjlfw72reguehqocl33ms1kyj0cudkgthmn,Ayam Bakar Wong Solo,Restoran Ayam Penyet,ctgry7hc1oq4or1ymwddw2bu8uan5ntfry089,Aceh,"72,000.00",4.2,"G8V8+FXJ, Jl. Nyak Adam Kamil III, Neusu Jaya, Kec. Baiturrahman, Kota Banda Aceh, Aceh 23116",https://lh5.googleusercontent.com/p/AF1QipPsa1SD-dgRCnw10g2oEtGKYVCFfrZwsdUIrHil=w750-h563-p-k-no,"https://www.google.com/maps/place/Ayam+Bakar+Wong+Solo/@5.5437098,95.3086234,15z/data=!4m10!1m2!2m1!1sayam+bakar+wong+solo!3m6!1s0x30403750d3d8674b:0xb6a45dd53ccef407!8m2!3d5.5437098!4d95.3173781!15sChRheWFtIGJha2FyIHdvbmcgc29sb1oWIhRheWFtIGJha2FyIHdvbmcgc29sb5IBFmF5YW1fcGVueWV0X3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F1ptzkc4ql?entry=ttu","5.5448844508627335, 95.31712063789061",5.544884451,95.31712064
tfykiyduyv36gvw295q1es51ugmmlpe9ez88jlniz94thixgkt0fomn,Ayam Bakar/Goreng Solo Jember,Restoran Jawa,ctgry7hc1oq4or1ymwddw2bu8uan5ntfry089,Jember,"70,000.00",4.3,"Jl. Karimata No.7A, Gumuk Kerang, Sumbersari, Kec. Sumbersari, Kabupaten Jember, Jawa Timur 68121",https://lh3.googleusercontent.com/p/AF1QipPbd1yps40lh1y_w5YRkn8jINxH5vfUxMCL9Dhp=s1360-w1360-h1020,"https://www.google.com/maps/place/Ayam+Bakar%2FGoreng+Solo+Jember/@-8.1803499,113.7155988,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd695d3617bb295:0x87a247c53083a10d!8m2!3d-8.1803499!4d113.7155988!16s%2Fg%2F1hdzsxqgg?authuser=0&hl=id&entry=ttu","-8.180373209618107, 113.71563897205061",-8.18037321,113.715639
tfyerng2887a0v0luu5794lvqf34j25fm1a1sbqp9w8y1j195hfvamn,Ayam Betutu Ibu Nia Renon Denpasar,Restoran,ctgry7hc1oq4or1ymwddw2bu8uan5ntfry089,Bali,"160,000.00",4.9,"Jl. Merdeka No.1, Renon, Kec. Denpasar Tim., Kota Denpasar, Bali 80239",https://lh3.googleusercontent.com/p/AF1QipNB0gfIjjX4cYMm5EpSpDflg-AFDByC9qpijhJX=s1360-w1360-h1020,https://www.google.com/maps/place/Ayam+Betutu+Ibu+Nia+Renon+Denpasar/data=!4m7!3m6!1s0x2dd2406067c2679b:0xb6d3a1919ffba7fd!8m2!3d-8.6673066!4d115.2388068!16s%2Fg%2F11c55vkyjk!19sChIJm2fCZ2BA0i0R_af7n5Gh07Y?authuser=0&hl=id&rclk=1,"-8.667152808430965, 115.23889263068578",-8.667152808,115.2388926
tfy87a0v0luu5794lvqf34j25fm1a1sbqp9w8y1j195hfvarmjr3dmn,Ayam Betutu Men Tempeh,Restoran Ayam,ctgry7hc1oq4or1ymwddw2bu8uan5ntfry089,Bali,"50,000.00",4.5,"Jl. Rajawali, Gilimanuk, Kec. Melaya, Kabupaten Jembrana, Bali 82252",https://lh3.googleusercontent.com/p/AF1QipP8WRUO6TWwMljbdn1sZqJ1PBFQCndkoUOSgDQS=s1360-w1360-h1020,"https://www.google.com/maps/place/Ayam+Betutu+Men+Tempeh/@-8.168221,114.4361511,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd14385c304a40b:0xfbd0199464b60d20!8m2!3d-8.168221!4d114.4361511!16s%2Fg%2F11bxd_9c72?entry=ttu","-8.16788647005438, 114.43612964232854",-8.16788647,114.4361296
tfye86eq0f6dtpabycfle06659ptyjss3572jtod12h04dbz8qq9fmn,Ayam Dadakan,Restoran Indonesia,ctgry7hc1oq4or1ymwddw2bu8uan5ntfry089,Pontianak,"136,000.00",4.4,"X88M+M2W, Jl. Teuku Umar, Darat Sekip, Kec. Pontianak Kota, Kota Pontianak, Kalimantan Barat 78243",https://lh3.googleusercontent.com/p/AF1QipPmnWpvLuQb5IH_A7R5boaXpJEfMAQ6K4HykAE2=s1360-w1360-h1020,https://maps.app.goo.gl/Pd4xihHwGNUCM5j88,"-0.03302673006779525, 109.3326460730143",-0.03302673007,109.3326461
tfy5q1es51ugmmlpe9ez88jlniz94thixgkt0fof6p43namcfxfnjmn,Ayam Geprek Suroboyo,Restoran Ayam,ctgry7hc1oq4or1ymwddw2bu8uan5ntfry089,Kapuas Hulu,"50,000.00",4.2,"VWMF+GP3, Putussibau Kota, North Putussibau, Kapuas Hulu Regency, West Kalimantan 78752",https://lh3.googleusercontent.com/p/AF1QipOuLvRe3Q1WzQn6Ct3t8APONMz5QKxl8WxRQPeY=s1360-w1360-h1020,"https://www.google.com/maps/place/Ayam+Geprek+Suroboyo/@0.8837652,112.9242946,17z/data=!3m1!4b1!4m6!3m5!1s0x3201ebc166feca6f:0x44191d1e396afc1e!8m2!3d0.8837652!4d112.9242946!16s%2Fg%2F11ggtg4vj7?entry=ttu","0.8839958425238377, 112.92442334602865",0.8839958425,112.9244233
tfydd4udt1bzb14mdc7kiyduyv36gvw295q1es51ugmmlpe9ez88jmn,Ayam Goreng Bu Hartin Toyan Wates,Restoran Indonesia,ctgry7hc1oq4or1ymwddw2bu8uan5ntfry089,Kulon Progo,"120,000.00",4.4,"Toyan, Jl. Wates - Purworejo No.KM 5, Kec. Wates, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55651",https://lh3.googleusercontent.com/p/AF1QipNlkJqIMwLySyhozVBDYeK9p-HudJdT0KPTZBy5=s1360-w1360-h1020,"https://www.google.com/maps/place/Ayam+Goreng+Bu+Hartin+Toyan+Wates/@-7.8913347,110.1242193,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7ae358b52a728f:0x1a20a27fa0f344dd!8m2!3d-7.8913347!4d110.1242193!16s%2Fg%2F1pzrvhyn5?authuser=0&hl=id&entry=ttu","-7.891233741242462, 110.12435877486435",-7.891233741,110.1243588
tfyms0kxj0cuckgshxltxu2eouv1hey0mq492ollkndinyhgrkmgymn,Ayam Goreng Djakarta,Restoran Ayam,ctgry7hc1oq4or1ymwddw2bu8uan5ntfry089,Surabaya,"80,000.00",4.5,"Jl. Kusuma Bangsa No.40, Ketabang, Kec. Genteng, Surabaya, Jawa Timur 60272",https://lh3.googleusercontent.com/p/AF1QipP4pzDP_7jTeR_GqVv0-akj01rwtFP326iJmzFG=s1360-w1360-h1020,https://www.google.com/maps/place/Ayam+Goreng+Djakarta/data=!4m7!3m6!1s0x2dd7f97ad47acb37:0xed67a5f4ff6e4701!8m2!3d-7.2586579!4d112.7512544!16s%2Fg%2F1pzps85vk!19sChIJN8t61Hr51y0RAUdu__SlZ-0?authuser=0&hl=id&rclk=1,"-7.258503578597046, 112.75120075582139",-7.258503579,112.7512008
tfyhps2hiovrcn0erng2887a0v0luu5794lvqf34j25fm1a1sbqp9mn,Ayam Goreng Kalasan,Restoran,ctgry7hc1oq4or1ymwddw2bu8uan5ntfry089,Bali,"25,000.00",4.5,"Jl. Cok Agung Tresna No.6, Sumerta Kelod, Kec. Denpasar Tim., Kota Denpasar, Bali 80234",https://lh5.googleusercontent.com/p/AF1QipOyu-UbQ6HLMLJLK9gO0ARnsi5vcgoxa4w4Nz0Q=w408-h306-k-no,https://www.google.com/maps/place/Ayam+Goreng+Kalasan/data=!4m7!3m6!1s0x2dd241eee658791b:0x50430ea20e52e2ca!8m2!3d-8.6668539!4d115.2297098!16s%2Fg%2F11nfvz2629!19sChIJG3lY5u5B0i0RyuJSDqIOQ1A?authuser=0&hl=id&rclk=1,"-8.666604651263151, 115.22992437671441",-8.666604651,115.2299244
tfyu33egidu4zocdsbeovaja1kzyi5h7asaieqo4j0vs0cm1szfcwmn,Ayam Goreng Ninit,Restoran takeaway ayam goreng,ctgry7hc1oq4or1ymwddw2bu8uan5ntfry089,Magelang,"12,000.00",4.4,"Jl. Ikhlas No.68, Magersari, Kec. Magelang Sel., Kota Magelang, Jawa Tengah 59214",https://lh3.googleusercontent.com/p/AF1QipOqWuiFwBF7ohVkKXYJhiZC_p8iW6X443vDZlTL=s1360-w1360-h1020,"https://www.google.com/maps/place/Ayam+Goreng+Ninit/@-7.4891298,110.2190547,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a8f45c4d29733:0x6a6b66e26a1cee9f!8m2!3d-7.4891351!4d110.2216243!16s%2Fg%2F11cndcb5cp?entry=ttu","-7.488885123036716, 110.2215813846571",-7.488885123,110.2215814
tfy9v0djbxuutxmrw7qp1uwq7rcbyr5ys18xwno6cl4i4kx5xvr42mn,Ayam Rica Rica Mas Bagus,Restoran,ctgry7hc1oq4or1ymwddw2bu8uan5ntfry089,Padang,"50,000.00",4.4,"Jl. Tepi Pasang No.34, kelurahan pondok, Kec. Padang Bar., Kota Padang, Sumatera Barat 25119",https://lh3.googleusercontent.com/p/AF1QipNgMwj5Hn78iHb2qsx1ak4fnt4AMDBu-BYX5d1V=s1360-w1360-h1020,"https://www.google.com/maps/place/Ayam+Rica+Rica+Mas+Bagus/@-0.9580166,100.3586117,17z/data=!4m6!3m5!1s0x2fd4b95088b507ed:0xef493d009ce1b1a8!8m2!3d-0.9584331!4d100.3612599!16s%2Fg%2F11bc7qxbww?entry=ttu","-0.9581936010414114, 100.36125099358723",-0.958193601,100.361251
tfyxmrw7qp1uwq7rcbyr5ys18xwno6cl4i4kx5xvr42h6difnzzefmn,Ayam Taliwang DUA-EM Bersaudara,Restoran Ayam,ctgry7hc1oq4or1ymwddw2bu8uan5ntfry089,Lombok,"20,000.00",4.4,"Jl. Transmigrasi No.99, Karang Taliwang, Kec. Cakranegara, Kota Mataram, Nusa Tenggara Bar. 83239",https://lh3.googleusercontent.com/p/AF1QipNID768_Utd82p3Q_WRiaPquvDnkekN7kK3ZQ-8=s1360-w1360-h1020,"https://www.google.com/maps/place/Ayam+Taliwang+DUA-EM+Bersaudara/@-8.5809257,116.1247679,17z/data=!3m1!4b1!4m6!3m5!1s0x2dcdc0a926f20ff1:0xfa4cc5fbc14a4ce0!8m2!3d-8.580931!4d116.1273375!16s%2Fg%2F11f4lccn83?entry=ttu","-8.580671085823358, 116.12740187301432",-8.580671086,116.1274019
