article_id,article_url,city,article_title,article_description,article_image
trfyce8pavkh9ngakrff6wfv3d0d3artcl,https://www.infopublik.id/kategori/cerita-khas/136506/index.html,Banyuwangi,"""Blue Fire"" Kawah Ijen, Daya Tarik Wisatawan Mancanegara","Kawah ini terkenal karena keindahan pemandangan alamnya, terutama fenomena api biru yang muncul di malam hari. Selain itu, Kawah Ijen juga terkenal dengan kandungan belerangnya yang menghasilkan salah satu kawah dengan asap belerang terbesar di dunia.",https://www.infopublik.id/assets/upload/headline//1_Agustus_Jauh_-_Jauh_dari_Jerman_demi_Blue_Fire_Kawah_Ijen.jpg
trfy6ofe9mk0fw0x58ixy4b7s3gu7artcl,https://food.detik.com/rumah-makan/d-5314247/huaah-tertampar-pedasnya-sego-tempong-mbok-wah-yang-bikin-nagih,Banyuwangi,Huaah! Tertampar Pedasnya Sego Tempong Mbok Wah yang Bikin Nagih,"Ke Banyuwangi wajib makan nasi tempong. Apalagi sego tempong racikan Mbok Wah, kamu harus siap tersambar pedasnya sambal ulek yang bikin nagih",https://akcdn.detik.net.id/community/media/visual/2020/12/29/huaah-tertampar-pedasnya-sego-tempong-mbok-wah-yang-bikin-nagih-4.jpeg?w=700&q=90
trfy3wioonqgbg1aalnpk1b6vjkziartcl,https://www.grid.id/read/043722921/intip-6-spot-kece-kebun-raya-cibodas-wisata-alam-paling-favorit-di-cianjur?page=all,Bogor,Intip 6 Spot Kece Kebun Raya Cibodas,Kebun Raya Cibodas menyajikan tempat wisata yang dapat dinikmati karena memiliki bermacam tempat yang menarik patut untuk disambangi para wisatawan dan dapat menambah wawasan mengenai koleksi tanaman di Kebun Raya Cibodas.,https://asset-a.grid.id/photo/2023/03/10/dsc04554jpg-20230310115137.jpg
trfylv2hqh8r65pcoehzhplxvbq72artcl,https://guide.horego.com/review-restoran-kluwih-sunda-bogor/,Bogor,Sensasi Kuliner Autentik Jawa Barat Di Restoran Kluwih Sunda Bogor,"Restoran Kluwih Sunda Bogor menjadi tempat yang memikat hati bagi para pencinta kuliner. Dengan menu autentik khas Sunda yang turun-temurun, serta harga yang sangat terjangkau, restoran ini telah mengukuhkan dirinya sebagai destinasi kuliner favorit warga lokal maupun luar kota.",https://guide.horego.com/wp-content/uploads/2023/10/profil-1-600x400.webp
trfyz7jt8z6mj34r59e7tz0y2insdartcl,https://indonesiabaik.id/infografis/taman-hutan-raya-ngurah-rai-siap-menyambut-delegasi-world-water-forum-ke-10,Denpasar,Taman Hutan Raya Ngurah Rai Siap Menyambut Delegasi World Water Forum ke-10,Taman Hutan Raya Ngurah Rai terletak di Bali dan memiliki luas sekitar 15 hektar. Tempat wisata ini terkenal dengan keanekaragaman flora dan fauna khas Pulau Bali.,https://awsimages.detik.net.id/community/media/visual/2022/11/10/tahura-ngurah-rai-bersolek-jelang-dikunjungi-delegasi-g20_169.jpeg?w=600&q=90
trfymlwz1vcni7uwaux64s1jj28h0artcl,https://www.liputan6.com/islami/read/5298870/jaminan-halal-ini-4-tempat-nasi-campur-di-bali-yang-bisa-dimakan-siapa-saja,Denpasar,"Jaminan Halal, Ini 4 Tempat Nasi Campur di Bali yang Bisa Dimakan Siapa Saja","Nasi campur merupakan sajian khas Pulau Bali yang berisi nasi dengan aneka lauk pauk. Bagi pecinta makanan pedas, sajian ini akan menjadi hidangan yang wajib dicoba.",https://cdn1-production-images-kly.akamaized.net/f8cfy3i1gO84oAdsFwwWq4QrqyI=/640x360/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/1392222/original/019401900_1478008989-Nasi_Campur_Bali.jpg
trfyezgsat0w9xd29daju5abhyufgartcl,https://jasling.menlhk.go.id/berita-dan-artikel/artikel/danau-tiga-warna-magnet-flores-di-taman-nasional-kelimutu,Ende,"Danau Tiga Warna, Magnet Flores Di Taman Nasional Kelimutu","Taman Nasional Kelimutu terletak di Pulau Flores, Nusa Tenggara Timur, Indonesia. Taman nasional ini terkenal dengan danau tiga warna (Kelimutu) yang mempesona dan keindahan alamnya. Di Taman Nasional Kelimutu, pengunjung dapat menikmati panorama pegunungan yang hijau dan beragam fauna, seperti burung-burung endemik Flores.",https://asset.kompas.com/crops/HDGD6LRfMPdVTYVgLj-6iabeD6o=/0x241:4000x2908/750x500/data/photo/2022/03/08/6227322355688.jpeg
trfy27kqi41104ty3exw813xeyji5artcl,https://www.kompasiana.com/hen12684/664a2dd5c57afb7e662dc652/sate-kambing-bangkalan-abah-turi-ende-surga-kuliner-di-kota-ende,Ende,"Sate Kambing Abah Turi-Ende, Surga Kuliner Kota Ende","Kota Ende, yang terletak di Flores, Nusa Tenggara Timur, tidak hanya terkenal sebagai tempat pengasingan Bapak Proklamasi Indonesia, Ir. Soekarno, tetapi juga sebagai persinggahan menuju Taman Nasional Kelimutu yang memukau. Namun, ada satu lagi daya tarik yang membuat kota ini layak untuk disinggahi, yaitu kulinernya. Salah satu tempat makan yang sangat direkomendasikan adalah Warung Sate Kambing Abah Turi-Ende.",https://assets.kompasiana.com/items/album/2024/05/20/1000325068-664aaeadc57afb75131fc212.jpg?t=o&v=770
trfyyc5z8f43uvdjsbpbr4c42yb9oartcl,https://www.liputan6.com/lifestyle/read/5385854/6-fakta-menarik-gunung-papandayan-yang-memiliki-hutan-mati-dan-taman-edelweis-tegal-alun?page=2,Garut,6 Fakta Menarik Gunung Papandayan yang Memiliki Hutan Mati dan Taman Edelweis Tegal Alun,"Gunung Papandayan adalah gunung berapi aktif yang terletak di Garut, Jawa Barat, Indonesia. Gunung ini menawarkan pemandangan alam yang spektakuler dengan kawah berwarna-warni, sumber air panas, dan hamparan padang edelweiss. Pengunjung dapat melakukan pendakian untuk menikmati keindahan alamnya. Gunung Papandayan juga dikenal dengan aktivitas geologinya yang menarik. Tempat ini cocok bagi para pecinta alam dan pendaki yang mencari petualangan dan keunikan alam pegunungan.",https://cdn1-production-images-kly.akamaized.net/syYHp4XLyZ_4EnVelnPNTaBDjXE=/640x360/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/919223/original/078022300_1436078106-6.jpg
trfydkpmu66lmt9wgreiv1ugcdcf5artcl,https://garut.inews.id/read/262916/6-tempat-wisata-kuliner-di-garut-ini-cocok-buat-nongkrong-bareng-pasangan-suguhkan-view-alam,Garut,"6 Tempat Wisata Kuliner di Garut Ini Cocok Buat Nongkrong Bareng Pasangan, Suguhkan View Alam","Wisata kuliner Garut, Jawa Barat, memang sangatlah beragam. Kota yang dijuluki ""Kota Dodol"" ini, memang sudah terkenal dengan produksi kuliner khasnya yaitu dodol. Disamping banyaknya destinasi-destinasi wisata alam yang indah dan asri, Garut  juga menawarkan tempat wisata kuliner yang hits dan populer, bahkan sudah viral di media sosial.",https://assets.pikiran-rakyat.com/crop/0x0:0x0/750x500/photo/2023/04/30/2042063005.jpg
trfy05q8y9ce8pavkh9ngakrff6wfartcl,https://www.indonesia.travel/id/id/ide-liburan/mau-liburan-seru-cobain-6-kegiatan-di-desa-wisata-nglanggeran-gunungkidul.html,Gunungkidul,"Mau Liburan Seru? Cobain 6 Kegiatan di Desa Wisata Nglanggeran, Gunungkidul","Desa Wisata Nglanggeran terletak di Kabupaten Gunungkidul, Yogyakarta, Indonesia. Desa wisata ini terkenal dengan keindahan alamnya yang asri, terutama pemandangan dari bukit Nglanggeran dan gua-gua yang ada di sekitarnya. Di Desa Wisata Nglanggeran, pengunjung dapat melakukan berbagai aktivitas seperti hiking, camping, atau sekadar menikmati keindahan alam yang mempesona.",https://joss.co.id/data/uploads/2021/09/desa-wisata-nglanggeran-2021-678x381.jpg
trfyv3d0d36ofe9mk0fw0x58ixy4bartcl,https://gunungapipurba.com/posts/detail/pawon-purba-menikmati-keindahan-desa-sekaligus-kuliner-uniknya,Gunungkidul,"PAWON PURBA, MENIKMATI KEINDAHAN DESA SEKALIGUS KULINER UNIKNYA","Tempat makan sekaligus lokasi nongkrong dengan view yang memanjakan mata, kedua makanan yang disajikan merupakan makanan khas Desa khususnya di Gunungkidul. Ada menu nasi merah sayur Lombok ijo, tempe garit, sambel bawang, trancam, sayur daun papaya, dll. Untuk Minumannya ada Es Tape Ketan, Kopi, Es Teh, Es Jeruk, dll.",http://gunungapipurba.com/storage/96de8b14-4db3-419c-9441-f3f8f90c971d/94cd1760d84fe6185a400e456585df.jpg
trfy7s3gu73wioonqgbg1aalnpk1bartcl,https://www.djarumfoundation.org/mobile/aktivitas/detail_kegiatan/1389/5/hadir-dengan-wajah-baru-galeri-indonesia-kaya-siap-kembali-sebagai-panggung-budaya-untuk-penikmat-seni,Jakarta,"Hadir Dengan Wajah Baru, Galeri Indonesia Kaya Siap Kembali Sebagai Panggung Budaya Untuk Penikmat Seni","Galeri Indonesia Kaya (disingkat GIK) adalah ruang publik yang memadukan konsep edukasi dan digital dengan tujuan untuk memperkenalkan dan mengapresiasi seni-budaya Indonesia khususnya kepada generasi muda, yang bertempat di Grand Indonesia, Jakarta, Indonesia. Galeri Indonesia Kaya digagas dan dibangun untuk menjadi ruang edutainment budaya berbasis teknologi digital yang dapat mendekatkan dan menyalurkan kreativitas berekspresi generasi muda dalam lingkup tradisi budaya nusantara. Tempat ini memiliki auditorium yang dapat digunakan untuk masyarakat yang membutuhkan tempat berkarya.",https://www.djarumfoundation.org/public/images/aktivitas/25_1684125200.png
trfy6vjkzilv2hqh8r65pcoehzhplartcl,https://www.indonesia.travel/id/id/ide-liburan/10-kuliner-jakarta-legendaris-yang-wajib-dicoba.html,Jakarta,10 Kuliner Jakarta Legendaris Yang Wajib Dicoba,"Sebagai ibu kota negara, Jakarta sudah bertahun-tahun menjadi pusat akulturasi dan asimilasi berbagai macam budaya yang ada. Latar belakang yang bervariasi itu ternyata memengaruhi dunia kuliner Jakarta, lho! Di sini bisa menjumpai beraneka ragam sajian legendaris yang mempunyai karakter berbeda-beda, mulai dari bakmi yang menggugah selera, es krim segar asli dari Italia, sampai gabus pucung yang luar biasa gurihnya.",https://v1.indonesia.travel/content/dam/indtravelrevamp/id-id/ide-liburan/10-kuliner-jakarta-legendaris-yang-wajib-dicoba/soto-betawi-h-maruf.jpg
trfyxvbq72z7jt8z6mj34r59e7tz0artcl,https://www.djkn.kemenkeu.go.id/kpknl-jambi/baca-berita/30506/Peran-Taman-Nasional-Kerinci-Seblat-dalam-Kontribusi-Penerimaan-Negara.html,Jambi,Peran Taman Nasional Kerinci Seblat dalam Kontribusi Penerimaan Negara,"Sejak tahun 2004, Kawasan TNKS telah diakui keberadaannya sebagai Situs Warisan Dunia atau World Heritage Site oleh UNESCO. Hal ini tidak terlepas dari keberadaan kawasan yang dikenal dengan keanekaragaman ekosistem yang sangat tinggi dan kekayaan plasma nutfah yang berpadu dengan budaya masyarakat setempat.",https://www.djkn.kemenkeu.go.id/files/images/2022/11/IMG_25341.jpeg
trfyy2insdmlwz1vcni7uwaux64s1artcl,https://food.detik.com/berita-boga/d-7287637/pondok-pindang-sarinade-pindang-patin-dan-tempoyak-udang-lezat-di-jambi,Jambi,Pindang Patin dan Tempoyak Udang Lezat di Jambi,"Kuliner Jambi tak kalah menarik untuk dicicipi. Sajiannya hampir mirip dengan Palembang, karena letaknya yang memang masih berdekatan. Sajian pindang banyak ditemui di sana.",https://akcdn.detik.net.id/community/media/visual/2024/04/10/pondok-pindang-sarinade-5.jpeg?w=700&q=90
trfyjj28h0ezgsat0w9xd29daju5aartcl,https://www.nativeindonesia.com/taman-nasional-meru-betiri/,Jember,"Taman Nasional Meru Betiri, Petualangan Hutan, Dan Pantai Di Jawa Timur",Taman nasional yang memiliki keanekaragaman hayati yang kaya dan ekosistem yang unik. Taman ini terkenal karena menjadi tempat berkembang biaknya penyu hijau (Chelonia mydas) dan penyu sisik (Eretmochelys imbricata).,https://www.nativeindonesia.com/foto/2021/06/Perpaduan-Alam-Yang-Mengagumkan.jpg
trfybhyufg27kqi41104ty3exw813artcl,https://wisata.viva.co.id/wisata/7592-10-rekomendasi-kuliner-asli-jember-jawa-timur-yang-wajib-dikunjungi?page=1,Jember,10 Rekomendasi Kuliner Asli Jember Jawa Timur yang Wajib Dikunjungi,"Jember, Jawa Timur terkenal dengan berbagai macam kuliner lezat dan menggoda selera. Mulai dari hidangan yang gurih, pedas, manis, hingga segar, semua tersedia di Jember. Bagi para pecinta kuliner, Jember adalah surga yang wajib dikunjungi.",https://www.beritaradar.com/wp-content/uploads/2023/09/Sate.jpg
trfyxeyji5yc5z8f43uvdjsbpbr4cartcl,https://indonesia.go.id/kategori/pariwisata/6789/mari-berpetualang-ke-karimunjawa-cagar-biosfer-dunia?lang=1,Jepara,"Mari Berpetualang ke Karimunjawa, Cagar Biosfer Dunia","Taman Nasional Karimunjawa adalah sebuah taman nasional yang terletak di Kepulauan Karimunjawa, Jawa Tengah, Indonesia. Taman nasional ini terkenal karena keindahan alam bawah lautnya, pantai-pantai beasir putih, dan keanekaragaman hayati yang melimpah.",https://indonesia.go.id/assets/upload/headline/29D06E22-1D6B-46AB-853A-B5BEFF9620F2_thumb.jpeg
trfy42yb9odkpmu66lmt9wgreiv1uartcl,https://www.panturapost.com/kuliner/2074580174/sudah-berjualan-sejak-1972-inilah-salah-satu-tempat-kuliner-legendaris-di-jepara,Jepara,"Sudah Berjualan Sejak 1972, Inilah Salah Satu Tempat Kuliner Legendaris di Jepara","Berada di Jepara, tidak lengkap rasanya tanpa menyambangi wisata kuliner khas Kabupaten ini. Salah satu tempat kuliner legendaris yang terdapat di Kabupaten Jepara ialah Sate Kerbau Bp Haji Darno.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/207/2024/04/25/Screenshot_20240425-115905_Maps-2181619606.jpg
trfygcdcf505q8y9ce8pavkh9ngakartcl,https://bafageh.com/blog/Taman-Nasional-Betung-Kerihun-Menikmati-Keanekaragaman-Hayati-Indonesia-di-Wilayah-Perbatasan,Kapuas Hulu,Menikmati Keanekaragaman Hayati Indonesia di Wilayah Perbatasan,Taman Nasional Betung Kerihun terletak di wilayah perbatasan antara Kalimantan Barat dan Kalimantan Tengah. Taman nasional ini memiliki luas sekitar 800.000 hektar dan termasuk dalam daerah dataran rendah hingga pegunungan dengan ketinggian mencapai 2.278 meter di Gunung Lawit. Taman nasional ini merupakan salah satu tempat wisata alam yang menarik untuk dikunjungi karena keanekaragaman hayati yang dimilikinya.,https://bafageh.com/uploads/images/blog/593020_tumb.png
trfyrff6wfv3d0d36ofe9mk0fw0x5artcl,https://pagaralampos.bacakoran.co/read/13800/kenikmatan-tersembunyi-8-makanan-khas-kapuas-hulu-yang-menggugah-selera,Kapuas Hulu,"Kenikmatan Tersembunyi, 8 Makanan Khas Kapuas Hulu yang Menggugah Selera","Kapuas Hulu, sebuah kabupaten yang terletak di Provinsi Kalimantan Barat, Indonesia, menyimpan kekayaan kuliner yang khas dan menggugah selera. Dengan keanekaragaman budaya dan alamnya yang menakjubkan, Kapuas Hulu juga dikenal dengan beragam hidangan tradisional yang tidak boleh dilewatkan.",https://pagaralampos.bacakoran.co/upload/39585a19df8f264458c0235a2879bc0a.jpg
trfy8ixy4b7s3gu73wioonqgbg1aaartcl,https://www.liputan6.com/regional/read/5129903/menengok-taman-nasional-tanjung-puting-konservasi-orangutan-terbesar-di-dunia,Kotawaringin,"Menengok Taman Nasional Tanjung Puting, Konservasi Orangutan Terbesar di Dunia",Tempat konservasi orangutan sekaligus destinasi wisata ini dikenal dengan sebutan 'The Last Orangutan Sanctuary'.,https://lh3.googleusercontent.com/p/AF1QipNoSqsFDZaPdyAJgxzkvPHZZ8sc_x2alTNEDTth=s1360-w1360-h1020
trfylnpk1b6vjkzilv2hqh8r65pcoartcl,https://kalteng.tribunnews.com/2023/11/28/wisata-kuliner-kalteng-menikmati-coto-manggala-makanan-khas-pangkalan-bun-di-pinggir-sungai-arut,Kotawaringin,"Uniknya Coto Manggala, Kuliner Singkong Khas Pangkalan Bun","Bagi warga Pangkalan Bun Kabupaten Kotawaringin Barat pasti mengenal coto manggala. Kuliner coto manggala adalah soto singkong khas Pangkalan Bun, Kotawaringin Barat, Kalimantan Tengah. Manggala dalam bahasa lokal Kotawaringin Barat yang berarti singkong. ",https://lh3.googleusercontent.com/p/AF1QipOoFQ2i_Nn9AT23d-SmgGwo8ThzCrp6jaUJgoBM=s1360-w1360-h1020
trfyehzhplxvbq72z7jt8z6mj34r5artcl,https://kalbar.genpi.co/wisata/343/hutan-albasia-destinasi-wisata-terjangkau-dekat-pusat-kota,Kubu Raya,"Hutan Albasia, Destinasi Wisata Terjangkau Dekat Pusat Kota",Objek wisata alam Hutan Albasia digemari anak-anak muda karena banyak spot foto. Pepohonan yang tinggi di lokasi juga menarik dijadikan tempat hammocking.,https://lh3.googleusercontent.com/p/AF1QipOCEP0CgnOMGi-AXoa9gNSPpwSubGuJ9MjRfi_r=s680-w680-h510
trfy9e7tz0y2insdmlwz1vcni7uwaartcl,https://kalbar.harianhaluan.com/kalbar/pr-2587403158/pisang-sale-makanan-khas-kubu-raya-kalbar-yang-palin-banyak-dicari,Kubu Raya,"Pisang Sale, Makanan Khas Kubu Raya Kalbar yang Palin Banyak Dicari",Banyak para pengujung yang mampir ke tempat ini tak pernah alpa mencicipi makanan Pisang Sale yang memiliki cita rasa khas dan unik. Pisang sale adalah makanan khas Kubu Raya yang dibuat di daerah Batu Ampar. Rasanya yang nikmat membuat pisang sale ini diincar banyak para pengunjung.,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Sale_pisang.JPG/2560px-Sale_pisang.JPG
trfyux64s1jj28h0ezgsat0w9xd29artcl,https://www.detik.com/jogja/plesir/d-7046182/kebun-teh-nglinggo-kulon-progo-wisata-alam-jogja-yang-sejuk-dan-indah,Kulon Progo,"Kebun Teh Nglinggo Kulon Progo, Wisata Alam Jogja yang Sejuk dan Indah","Jogja menjadi kota yang cukup padat dan banyak mahasiswa dan pekerja. Bagi warga jogja ataupun wisatawan yang ingin mencari kesejukan dapat mengunjungi Kebun Teh Nglinggo.
",https://lh3.googleusercontent.com/p/AF1QipMyJspgFhnWRb5vivdL_zeFjYweI8PAK1mkk77Y=s1360-w1360-h1020
trfydaju5abhyufg27kqi41104ty3artcl,https://jogja.babad.id/kuliner/103511479101/kuliner-enak-di-kulon-progo-rumah-makan-bu-hartin-ayam-gorengnya-muantap-dengan-bumbu-rahasianya,Kulon Progo,"Kuliner Enak di Kulon Progo, Rumah Makan Bu Hartin, Ayam Gorengnya Muantap Dengan Bumbu Rahasianya","Jogja, kota yang dikenal sebagai surganya wisata dan kuliner, bukanlah satu-satunya tempat yang menyimpan kekayaan kuliner di DIY (Daerah Istimewa Yogyakarta). Selain Jogja, Kulon Progo kabupaten tetangganya pun turut berkontribusi dengan kehadiran warung-warung lezat yang menggoda selera. Di tengah keberagaman itu, Rumah Makan Bu Hartin, Kulon Progo, Jogja menjadi perwakilan autentik dari kelezatan kuliner khas daerah tersebut.",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/p1/1035/2024/01/11/Ari-Soegeng-Wahyuniarti-820978187.jpg
trfyexw813xeyji5yc5z8f43uvdjsartcl,https://www.inews.id/travel/destinasi/mengenal-hutan-raya-bukit-soeharto-di-kaltim-ada-keunikan-flora-dan-fauna-yang-langka,Kalimantan Timur,"Mengenal Hutan Raya Bukit Soeharto di Kaltim, Ada Keunikan Flora dan Fauna yang Langka ","Keindahan alam yang ada di Kalimantan Timur (Kaltim) selalu menarik untuk dijelajahi. Kalimantan dikenal memiliki hutan dan perbukitan yang eksotis untuk dieksplorasi.  Salah satu yang sedang populer adalah Kawasan Hutan Raya Bukit Soeharto. Berdasarkan Peta Kawasan Konservasi di Indonesia yang dirilis oleh Kementerian Lingkungan Hidup dan Kehutanan (KLHK), kawasan Bukit Soeharto merupakan salah satu dari 28 Taman Hutan Raya yang ada di Indonesia.",https://upload.wikimedia.org/wikipedia/commons/7/77/Jalan_menuju_Taman_Hutan_Raya_Bukit_Soeharto.jpg
